Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
26,6.8,7.1,0.7,3460
29,5.7,7.3,1.5,144
27,6.7,7.1,1.2,1739
28,7,6.9,0.9,278
29,6.5,7,1.3,175
28,6.6,7.3,1.4,1875
29,7,7.3,0.8,1813
26,6.3,7.2,0.8,880
28,6,7,1.1,493
28,4.4,7.1,1.5,722
28,4.5,7.2,1,537
28,5.1,6.9,2.1,1946
27,7.5,7.2,1.1,1134
28,6.8,7,1.3,2267
28,6.8,6.9,1.4,1785
28,5.9,6.8,2.2,1520
28,4.9,6.7,2.2,2200
28,6.8,6.9,1.4,1223
28,7.1,6.9,1.2,1636
26,6.9,6.6,1.1,542
28,6.5,6.3,1,323
29,4.9,6.6,2.1,1241
28,4.2,6.5,1.4,528
28,6.9,7.1,0.9,336
26,6.6,6.7,0.8,464
29,4.5,6.6,2.1,435
29,6.2,7.2,1.3,141
27,6.6,7.1,1.1,810
29,6.3,7.3,1.2,1813
27,6,7.6,1.1,362
27,6,7.8,1.1,343
20,5.8,7.4,0.6,1517
24,6.1,7.5,0.5,1458
28,6.4,7.1,2.3,398
27,7.1,7.4,1.9,995
32,6.7,7.2,1,70
30,6.8,7.1,1,137
22,7.8,7.9,1.5,15083
22,7.7,8.1,2,32017
24,6.9,7.6,1.6,5395
27,7.3,8,1.6,4348
26,6.8,8.1,2.6,5142
25,7.2,8.1,3.1,4586
28,8,8.3,1.4,4319
29,8.2,8,2,1116
26,7,8,1.8,3573
28,7.2,8.1,1.6,2324
31,6.8,7.8,2.1, 
25,6.5,7.9,3, 
25,6.9,7.4,3, 
25,6.8,8.1, , 
26,6,7.3, , 
27,6.8,7.5,2.1,589
23,7.3,7.6,1.9,89
25,7,7.7,2.2,131
26,6.7,7.7,3.1,300
29,7.2,7.2,2.1,91
24,7,7.1,1.9,118
24,7,7.5,1.7,87
29,7.4,7,15.6,174
29,7.2,7.3,2.9,123
24,7.1,7.4,1.8,90
29,7.2,6.9,3.8,104
26,6.7,7.6,3.3,249
27,6.7,7.6,4.1,251
32,0.2,7.2,185.8,300000000
 ,6.8,8,3.1, 
21,5.5,7.4,8.8,5500
24,5.5,7.4,25,63000
21,5.3,7.3,9.9,10000
24,5.1,7.4,21.9,57750
21,5.3,7.5,13.5,34750
18,4.9,7.4,17.5,40667
22,4.3,7.5,24.5,65000
22,4.8,7.4,26,55000
21,5.1,7.4,16,12000
24,5.3,7.4,26.9,66250
22,4.9,7.4,27.8,40500
22,5.2,7.4,20.5,29500
 ,6.4,7.9,21, 
 ,6.6,7.8,18, 
 ,6.4,8,19.5, 
33,4.8,7.5,2.4,4
20,7.7,7.4,1.2,19
20,7.3,7,1.4,22
20,7.1,7.7,1.5,23
20,3.3,7.5,185, 
18,6.2,7.5,41.5,235
24,6,8.3,1.4,16
19,5.9,7.3,1.5,12
23,6.4,8,1.2,21
24,5.9,7.9,1.5,14
23,7.3,7.4,2.1,46
28,8.5,7.5,2.7,31
29,8.9,7,1.9,45
30,8,7.8,2.1,51
30,7.5,7.7,1.2,54
28,8.5,7.6,2,16
29,8.4,7.5,1.9,75
30,8.7,7.2,3.2,52
29,6.5,7.7,8.2,114
28,8.6,7.5,4.6,39
28,8.9,7.5,1.2,33
30,9.8,8.4,1.2,10
28,7.6,7.5,1.3,30
29,8.7,7.6,1.2,60
28,8.4,7.4,2.4,48
29,8.7,7.6,2.5,59
32,8.2,7.4,1.9,46
32,8,7.2,1.4,80
30,8.4,7.6,1.5,20
29,9.4,7.8,1,16
31,8.1,8,2.4,73
29,8.1,8,1.8,26
30,8.7,7.6,2.6,24
29,8.7,7.6,1.9,58
30,9.2,7.6,1.9,30
29,8.3,7.7,2,48
29,5.9,7.1,6.6,522
30,4.3,7.4,12.3,412
29,8.2,7.1,3.3,12
28,11.1,7.6,3.6,32
29,7.4,7.1,2.7,55
28,8.2,7.6,2.1,31
29,8.5,7.5,3.6,41
28,11.4,7.2,1,20
29,8.9,7.6,1.7,30
30,9.3,7.6,2.3,41
28,9.1,7.3,3.9,67
28,7.9,7.3,0.8,38
29,8.7,7.4,2.2,36
30,8.1,7.3,2.2,56
30,8.2,7.4,2.2,39
25,7.7,7.2,1.8,50
