Temp,DO,PH,BOD,Tot_col,WQI
26.4,6.0,6.6,1.5,398.0,50.7736870275505
30.0,4.9,6.8,1.6,614.0,61.90802128166914
30.8,6.3,7.0,1.4,201.0,37.298219190644595
27.8,6.6,6.8,1.1,347.0,34.007520778088484
26.7,7.1,7.5,0.8,1097.0,28.679766986210296
27.0,6.0,7.3,1.2,78.0,43.94104264611626
26.8,6.1,7.7,1.2,211.0,47.87485053849282
19.0,5.8,7.8,0.6,1100.0,45.27091922387313
21.4,6.1,8.0,0.9,1260.0,49.73755942608594
27.1,7.3,7.3,2.3,336.0,48.70037304890713
26.3,7.6,7.4,2.4,834.0,49.80379186444886
28.3,6.5,7.1,1.0,212.0,31.68477521616138
27.9,6.5,7.1,1.0,79.0,31.970666255637564
23.4,7.5,7.8,1.4,18918.0,53.3050821859456
23.5,7.6,7.6,2.3,32918.0,73.8852777457526
22.4,7.3,7.5,1.2,17512.0,48.187140614276316
26.8,7.5,8.0,1.4,23191.0,54.21939849657458
26.5,7.3,7.9,2.9,30836.0,85.78858215431819
22.0,7.4,7.9,2.3,3900.0,62.79809398171068
27.6,6.9,8.1,2.0,22523.0,70.74177466068727
26.8,7.0,8.0,1.8,10469.0,58.46356279725966
25.6,7.2,7.8,1.3,31034.0,59.561227926657295
26.5,7.3,8.0,1.2,5289.0,42.22244215431819
24.0,6.7,7.8,1.0,468.0,41.80647850810331
28.0,8.0,7.7,1.8965,468.0,37.56719940099552
28.0,8.0,8.2,4.0,468.0,79.36842440099551
28.0,7.0,8.2,5.0,468.0,107.72989182288588
27.0,7.0,6.4,4.0,468.0,84.67219195889916
27.8,6.7,7.5,1.7,474.0,46.77784707671901
23.4,7.2,6.5,3.1,59.0,69.63540485696545
25.4,6.7,6.3,3.3,74.0,78.37719655912929
26.3,6.3,6.5,4.0,124.0,91.2859025988911
29.0,6.6,6.9,5.4,53.0,104.58424490302933
24.6,7.1,6.3,3.5,82.0,78.62620396740678
23.5,6.9,6.3,3.5,52.0,81.4566721988192
29.0,7.3,7.1,3.6,104.0,65.59901246477133
27.0,6.1,7.0,5.2,77.0,107.32695757739455
24.0,6.9,6.4,3.2,65.0,74.73873441101743
28.7,6.8,6.8,9.4,58.0,171.81371336857376
26.3,6.0,6.6,3.9,84.0,91.4721743068393
25.7,6.5,6.7,3.3,113.0,75.35465369741662
26.8,3.4,7.8,164.9,160405392.0,102314.67248042885
27.0,6.7,7.3,1.8965,468.0,48.502028831730954
23.3,5.5,7.2,9.7,4975.0,196.70273475655227
22.8,4.7,7.3,23.8,56000.0,476.57299822316907
23.3,5.3,7.2,11.3,6025.0,226.37084085393138
21.8,4.9,7.3,23.5,54250.0,468.5944787357084
24.3,5.3,7.4,13.0,26750.0,270.4183434182057
23.5,4.9,7.5,16.5,30500.0,337.22552111234285
24.0,4.4,7.4,24.8,55250.0,497.2593189579243
23.5,4.8,7.2,20.3,43700.0,407.3727088913523
23.3,5.1,7.3,14.8,8425.0,290.40894695131044
22.5,4.6,7.4,24.3,50000.0,483.387374065956
26.0,4.0,7.4,26.0,57500.0,523.7418286469441
25.8,4.4,7.3,21.5,43750.0,433.289578236398
27.0,6.7,6.9,13.0,468.0,235.04392049839757
27.0,6.7,6.5,15.0,468.0,273.88258716506425
27.0,5.0,7.3,33.9,468.0,611.38916
27.0,6.7,6.7,18.0,468.0,322.5299204983976
30.7,4.8,7.6,0.8,9.0,54.09946350245392
20.3,7.1,7.5,1.3,19.0,42.43887915121353
20.7,7.1,7.5,1.4,22.0,43.83793533505267
20.8,6.6,7.5,1.6,24.0,51.144569002306405
20.6,4.9,7.4,16.3,120.0,313.669920938899
28.0,4.9,8.3,1.0,5.0,64.40158007552238
23.4,5.5,7.4,0.8,6.0,44.5547711038558
25.3,5.5,8.1,1.1,6.0,57.6316764198714
31.1,5.0,7.3,1.7,12.0,63.16977333333334
26.3,5.6,8.1,1.1,6.0,56.33857658410358
22.0,7.3,7.3,2.1,32.0,50.630277288028296
24.4,7.2,7.3,2.2,57.0,50.934690176881766
23.7,7.2,7.4,2.2,56.0,52.82947027627747
24.6,7.6,7.2,1.8,57.0,38.908489039011585
23.1,7.1,7.5,2.2,413.0,55.70878940357158
21.7,5.2,2.9,7.8,30.0,210.9734367839232
18.2,7.3,7.1,1.3,48.0,37.731520574077514
18.8,7.6,7.2,1.2,36.0,34.59694504441361
23.8,8.0,6.9,1.8,49.0,34.98113050041615
17.8,7.9,7.3,1.4,29.0,37.95193104090563
18.7,7.4,7.2,1.9,32.0,48.037333616500945
18.8,7.7,7.2,1.6,63.0,40.69427318714746
21.3,6.8,2.7,3.2,11.0,122.08549391523326
22.6,7.1,6.5,3.8,1072.0,83.781760878988
25.2,7.8,7.2,1.6,41.0,32.78565158858687
24.8,7.3,7.3,2.0,47.0,46.15058326187484
19.9,7.3,7.0,1.8,45.0,43.72738125734188
20.7,7.4,7.1,1.7,42.0,41.77347276386971
20.6,6.5,7.1,2.7,2722.0,67.63615924984903
21.5,7.5,5.7,1.5,23.0,51.23184889869816
17.7,5.8,6.9,3.1,463.0,79.34378773583153
17.9,6.9,7.2,1.4,33.0,43.632479327100185
23.9,7.8,7.3,1.9,444.0,41.03990135505928
18.0,6.6,7.0,2.3,63.0,58.60403649599379
18.4,7.6,7.1,1.7,53.0,42.25431138342689
18.8,7.8,7.0,1.4,35.0,34.14483466321465
24.8,7.7,7.4,1.6,56.0,36.69937078567917
19.3,7.1,7.0,1.8,43.0,45.68759390587976
20.6,7.4,7.0,1.6,87.0,38.98610413309178
20.7,7.5,7.2,1.6,46.0,40.483443017919846
18.4,3.1,7.2,21.8,31444.0,437.03843732236743
19.1,4.7,7.2,13.6,20056.0,279.10224864661154
