Temp,DO,PH,BOD,Tot_col,BOD_log,Tot_col_log
23.8,6.7,6.3,2.7,32.0,1.308332819650179,3.4965075614664802
22.8,6.7,6.4,4.6,34.0,1.7227665977411035,3.5553480614894135
29.0,6.6,7.2,2.7,60.0,1.308332819650179,4.110873864173311
29.0,6.7,7.0,2.5,51.0,1.252762968495368,3.9512437185814275
23.0,6.6,6.2,2.5,38.0,1.252762968495368,3.6635616461296463
29.0,6.8,6.9,2.5,48.0,1.252762968495368,3.8918202981106265
25.7,6.5,6.6,2.4,41.0,1.2237754316221157,3.7376696182833684
25.7,6.6,6.7,2.5,34.0,1.252762968495368,3.5553480614894135
24.3,0.9,7.6,104.5,511090873.0,4.658710952916121,20.05205796797354
27.0,6.7,7.3,1.8965,468.0,1.0635031115545417,6.150602768446279
22.7,5.8,7.2,6.0,4073.0,1.9459101490553132,8.31238059678675
19.0,4.8,7.6,22.0,52500.0,3.1354942159291497,10.868587496017359
23.0,5.5,7.3,10.0,5433.0,2.3978952727983707,8.600430789986293
24.0,5.1,7.4,23.7,50333.0,3.2068032436339315,10.82643607207435
24.7,5.5,7.4,10.0,29333.0,2.3978952727983707,10.2865025318067
25.0,5.0,7.6,16.3,21667.0,2.8507065015037334,9.98359179677779
22.0,4.9,7.7,27.5,72000.0,3.349904087274605,11.184435286790631
24.3,5.0,7.3,19.3,39533.0,3.0106208860477417,10.584916340141875
23.3,5.3,7.2,13.3,7133.0,2.6602595372658615,8.872627365918836
19.5,4.9,7.7,21.0,49500.0,3.091042453358316,10.809748150372926
21.5,4.1,7.5,23.0,57500.0,3.1780538303479458,10.959557617938563
20.0,4.8,7.4,17.0,38000.0,2.8903717578961645,10.545367754151743
27.0,6.7,8.2,19.8,468.0,3.0349529867072724,6.150602768446279
27.0,6.7,7.9,18.2,468.0,2.954910279033736,6.150602768446279
32.6,4.0,6.8,3.0,9.0,1.3862943611198906,2.302585092994046
23.6,7.8,7.8,1.3,17.0,0.832909122935104,2.8903717578961645
23.9,7.7,7.7,1.3,22.0,0.832909122935104,3.1354942159291497
24.5,7.6,7.9,1.6,22.0,0.9555114450274363,3.1354942159291497
27.0,6.7,7.2,88.0,468.0,4.48863636973214,6.150602768446279
18.1,4.4,7.1,41.0,224.0,3.7376696182833684,5.41610040220442
25.1,5.9,8.0,0.9,15.0,0.6418538861723948,2.772588722239781
